,Fecha,Hora,Producto,Accion,Modulo,Usuario,Host
268,06/05/2022,12:17:24,adskflex,OUT,64801INVPROSA_F,upm,etsidi00045
269,06/05/2022,12:17:24,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00045
270,06/05/2022,14:13:16,adskflex,OUT,64801INVPROSA_F,upm,etsidi00048
271,06/05/2022,14:13:16,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00048
272,06/05/2022,14:13:25,adskflex,OUT,64300ACD_F,UPM,upm00090
273,06/05/2022,14:13:25,adskflex,OUT,87545ACD_2022_0F,UPM,upm00090
274,06/05/2022,14:18:19,adskflex,OUT,64300ACD_F,UPM,upm00094
275,06/05/2022,14:18:19,adskflex,OUT,87545ACD_2022_0F,UPM,upm00094
276,06/05/2022,14:18:21,adskflex,IN,87545ACD_2022_0F,UPM,upm00094
277,06/05/2022,14:18:21,adskflex,IN,64300ACD_F,UPM,upm00094
278,06/05/2022,14:19:15,adskflex,OUT,64300ACD_F,UPM,upm00094
279,06/05/2022,14:19:15,adskflex,OUT,87545ACD_2022_0F,UPM,upm00094
280,06/05/2022,14:19:54,adskflex,IN,87545ACD_2022_0F,UPM,upm00094
281,06/05/2022,14:19:54,adskflex,IN,64300ACD_F,UPM,upm00094
282,06/05/2022,14:30:21,adskflex,IN,87545ACD_2022_0F,UPM,upm00090
283,06/05/2022,14:30:21,adskflex,IN,64300ACD_F,UPM,upm00090
284,06/05/2022,14:40:25,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00048
285,06/05/2022,14:40:25,adskflex,IN,64801INVPROSA_F,upm,etsidi00048
286,06/05/2022,15:34:39,adskflex,OUT,64300ACD_F,UPM,upm00094
287,06/05/2022,15:34:39,adskflex,OUT,87545ACD_2022_0F,UPM,upm00094
288,06/05/2022,16:09:17,adskflex,IN,64900CIV3D_F,UPM,upm00472
289,06/05/2022,16:09:17,adskflex,IN,87556CIV3D_2022_0F,UPM,upm00472
290,06/05/2022,16:37:04,adskflex,IN,64801INVPROSA_F,upm,etsidi00045
291,06/05/2022,16:37:04,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00045
292,06/05/2022,16:51:54,adskflex,OUT,85950RVT_F,UPM,upm00182
293,06/05/2022,16:51:54,adskflex,OUT,87561RVT_2022_0F,UPM,upm00182
294,06/05/2022,16:51:56,adskflex,OUT,85950RVT_F,UPM,upm00182
295,06/05/2022,16:51:56,adskflex,OUT,87561RVT_2022_0F,UPM,upm00182
296,06/05/2022,16:56:03,adskflex,OUT,64801INVPROSA_F,upm,etsidi00062
297,06/05/2022,16:56:03,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00062
298,06/05/2022,17:39:18,adskflex,IN,87561RVT_2022_0F,UPM,upm00182
299,06/05/2022,17:39:18,adskflex,IN,85950RVT_F,UPM,upm00182
300,06/05/2022,17:39:20,adskflex,IN,87561RVT_2022_0F,UPM,upm00182
301,06/05/2022,17:39:20,adskflex,IN,85950RVT_F,UPM,upm00182
302,06/05/2022,17:41:59,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00062
303,06/05/2022,17:41:59,adskflex,IN,64801INVPROSA_F,upm,etsidi00062
304,06/05/2022,17:51:49,adskflex,IN,64300ACD_F,UPM,upm00094
305,06/05/2022,17:51:49,adskflex,IN,87545ACD_2022_0F,UPM,upm00094
306,06/05/2022,17:54:17,adskflex,OUT,64801INVPROSA_F,upm,etsidi00003
307,06/05/2022,17:54:17,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00003
308,06/05/2022,17:55:48,adskflex,IN,64801INVPROSA_F,upm,etsidi00040
